Timestamp,Vehicle Count,Density,Cars,Motorcycles,Buses,Trucks
2026-07-10 06:38:52,2,LOW,1,1,0,0
2026-07-10 06:38:52,2,LOW,1,1,0,0
2026-07-10 06:38:52,2,LOW,1,1,0,0
2026-07-10 06:38:52,8,MEDIUM,2,2,2,2
2026-07-10 06:38:52,8,MEDIUM,2,2,2,2
2026-07-10 06:38:52,8,MEDIUM,2,2,2,2
2026-07-10 06:38:52,18,HIGH,5,5,4,4
2026-07-10 06:38:52,18,HIGH,5,5,4,4
2026-07-10 06:38:52,18,HIGH,5,5,4,4
2026-07-10 06:38:52,2,LOW,1,1,0,0
2026-07-10 06:38:52,2,LOW,1,1,0,0
2026-07-10 06:38:52,2,LOW,1,1,0,0
2026-07-10 06:45:44,2,LOW,1,1,0,0
2026-07-10 06:45:44,2,LOW,1,1,0,0
2026-07-10 06:45:44,2,LOW,1,1,0,0
2026-07-10 06:45:44,8,MEDIUM,2,2,2,2
2026-07-10 06:45:44,8,MEDIUM,2,2,2,2
2026-07-10 06:45:44,8,MEDIUM,2,2,2,2
2026-07-10 06:45:44,18,HIGH,5,5,4,4
2026-07-10 06:45:44,18,HIGH,5,5,4,4
2026-07-10 06:45:44,18,HIGH,5,5,4,4
2026-07-10 06:45:44,2,LOW,1,1,0,0
2026-07-10 06:45:44,2,LOW,1,1,0,0
2026-07-10 06:45:44,2,LOW,1,1,0,0
2026-07-10 06:51:43,2,LOW,1,1,0,0
2026-07-10 06:51:43,2,LOW,1,1,0,0
2026-07-10 06:51:43,2,LOW,1,1,0,0
2026-07-10 06:51:43,8,MEDIUM,2,2,2,2
2026-07-10 06:51:43,8,MEDIUM,2,2,2,2
2026-07-10 06:51:43,8,MEDIUM,2,2,2,2
2026-07-10 06:51:43,18,HIGH,5,5,4,4
2026-07-10 06:51:43,18,HIGH,5,5,4,4
2026-07-10 06:51:43,18,HIGH,5,5,4,4
2026-07-10 06:51:43,2,LOW,1,1,0,0
2026-07-10 06:51:43,2,LOW,1,1,0,0
2026-07-10 06:51:43,2,LOW,1,1,0,0
2026-07-10 08:03:28,16,HIGH,12,0,0,4
2026-07-10 08:03:28,16,HIGH,12,0,0,4
2026-07-10 08:03:28,16,HIGH,13,0,0,3
2026-07-10 08:03:28,16,HIGH,13,0,0,3
2026-07-10 08:03:28,16,HIGH,13,0,0,3
2026-07-10 08:03:28,17,HIGH,13,0,0,4
2026-07-10 08:03:28,16,HIGH,12,0,0,4
2026-07-10 08:03:29,17,HIGH,13,0,0,4
2026-07-10 08:03:29,17,HIGH,13,0,0,4
2026-07-10 08:03:29,18,HIGH,13,0,1,4
2026-07-10 08:03:29,16,HIGH,12,0,0,4
2026-07-10 08:03:29,17,HIGH,12,0,1,4
2026-07-10 08:03:29,17,HIGH,12,0,1,4
2026-07-10 08:03:29,17,HIGH,13,0,0,4
2026-07-10 08:03:29,16,HIGH,12,0,0,4
2026-07-10 08:03:30,15,MEDIUM,11,0,0,4
2026-07-10 08:03:30,14,MEDIUM,11,0,0,3
2026-07-10 08:03:30,13,MEDIUM,10,0,0,3
2026-07-10 08:03:30,17,HIGH,13,0,0,4
2026-07-10 08:03:30,16,HIGH,12,0,0,4
2026-07-10 08:03:30,16,HIGH,12,0,0,4
2026-07-10 08:03:30,15,MEDIUM,12,0,0,3
2026-07-10 08:03:30,14,MEDIUM,10,0,0,4
2026-07-10 08:03:30,16,HIGH,12,0,0,4
2026-07-10 08:03:31,16,HIGH,12,0,0,4
2026-07-10 08:03:31,16,HIGH,13,0,0,3
2026-07-10 08:03:31,16,HIGH,13,0,0,3
2026-07-10 08:03:31,15,MEDIUM,12,0,0,3
2026-07-10 08:03:31,16,HIGH,13,0,0,3
2026-07-10 08:03:31,18,HIGH,15,0,0,3
2026-07-10 08:03:31,19,HIGH,16,0,0,3
2026-07-10 08:03:31,18,HIGH,15,0,0,3
2026-07-10 08:03:32,19,HIGH,16,0,0,3
2026-07-10 08:03:32,19,HIGH,16,0,0,3
2026-07-10 08:03:32,20,HIGH,17,0,0,3
2026-07-10 08:03:32,21,HIGH,18,0,0,3
2026-07-10 08:03:32,16,HIGH,13,0,0,3
2026-07-10 08:03:32,17,HIGH,14,0,0,3
2026-07-10 08:03:32,18,HIGH,15,0,0,3
2026-07-10 08:03:32,17,HIGH,14,0,0,3
2026-07-10 08:03:33,19,HIGH,14,0,0,5
2026-07-10 08:03:33,18,HIGH,14,0,0,4
2026-07-10 08:03:33,20,HIGH,15,0,0,5
2026-07-10 08:03:33,22,HIGH,17,0,0,5
